index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.120884773662548,97.67489711934168,8.838888888888883,0.1618982176666081,False
1,3.0,200.0,17.5,True,3.6768518518518514,138.58024691358042,18.434413580246897,0.0911395141998209,False
2,3.25,150.0,13.25,True,3.437462769322554,123.1878976272142,13.161144302248722,0.0031806219480072905,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.4822730909922286,145.00914494741653,19.800880201188853,0.0707698830916381,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.6053240740740735,139.3518518518519,18.746296296296286,0.0816724016483291,False
7,2.625,225.0,15.375,True,3.3031249999999988,136.66666666666669,16.812847222222196,0.1199286807338784,False
8,2.6875,162.5,24.9375,True,3.508066129401007,155.90192043895755,27.103995198902595,0.4843844157227547,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.609375,135.0,16.54999999999999,0.0360169981897723,False
11,2.9375,212.5,12.1875,True,3.671874999999998,121.99074074074052,13.631944444444446,0.0966281881562194,False
12,2.8125,137.5,14.3125,True,3.437462565525553,123.18789398290494,13.161142112186337,0.0031806219479200547,True
13,3.3125,237.5,22.8125,True,3.919791666666669,158.33333333333348,25.85416666666669,0.2097477912311276,False
14,3.0625,187.5,10.0625,True,3.853645833333328,113.88888888888889,11.003530092592596,0.30183559301397,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.3005379801097448,132.1433470507543,16.805812757201636,0.3153411348431773,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.437462054059777,123.1878135208503,13.16112501196983,0.003180621948211459,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.364583333333333,140.52083333333331,17.118750000000013,0.1115136426294589,False
21,3.46875,218.75,14.84375,True,4.229947916666667,133.41049382716068,16.570939429012334,0.4771287980694664,False
22,3.21875,168.75,19.09375,True,3.647806284293552,143.72757523148147,19.72022274734226,0.0675585925386614,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.5646219135802495,130.54783950617275,14.565985082304518,0.0358639304817214,False
25,3.15625,231.25,9.53125,True,3.9453125000000018,130.37551440329196,10.927597736625518,0.9969114205082388,False
26,3.40625,181.25,22.28125,True,3.8204668209876536,153.08352623456796,23.443451003086427,0.1515715880583584,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.4374631603058425,123.18793865334092,13.161154409497874,0.003180621948700038,True
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.4374623004924993,123.18784501724647,13.16113026058342,0.0031806219480728574,True
31,2.53125,206.25,24.40625,True,3.221874999999999,157.2337962962963,24.421315586419738,0.5447436085165426,False
