index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.120884773662548,97.67489711934168,8.838888888888883,0.1487324471343554,False
1,3.0,200.0,17.5,True,3.5956790123456788,140.5349794238685,18.67386831275719,0.0395871110684206,False
2,3.25,150.0,13.25,True,3.4337635496755636,124.97590184325276,13.515508116853137,0.0028095217179455365,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.354166666666668,145.83333333333331,19.95208333333334,0.046561995896819,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.4490740740740744,144.9074074074074,19.71898148148148,0.0208336380675391,False
7,2.625,225.0,15.375,True,3.2958333333333325,138.61111111111111,16.76064814814812,0.040042230882367,False
8,2.6875,162.5,24.9375,True,3.5617669753086423,149.45987654320993,21.15069444444444,0.0261094811086088,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.609375,135.0,16.54999999999999,0.0315214534917465,False
11,2.9375,212.5,12.1875,True,3.671874999999998,121.99074074074052,13.631944444444446,0.0600917724911003,False
12,2.8125,137.5,14.3125,True,3.4337634341597685,124.97596723948814,13.515520767641865,0.0028095217178835926,True
13,3.3125,237.5,22.8125,True,3.5333333333333323,158.33333333333348,27.375000000000018,0.3351181966939706,False
14,3.0625,187.5,10.0625,True,3.5445601851851816,111.80555555555554,11.73958333333334,0.0575119343718844,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.309432870370374,135.98379629629608,15.994618055555549,0.0306284342295977,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.433763516012656,124.97586699190714,13.515499398121376,0.002809521717954789,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.433763509805887,124.975987893895,13.51552603630716,0.002809521717922375,True
21,3.46875,218.75,14.84375,True,3.757812500000002,138.54166666666686,18.554687499999982,0.106583365575489,False
22,3.21875,168.75,19.09375,True,3.408000578703703,148.515625,20.69373553240742,0.0208034883801504,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.3580246913580263,135.32793209876547,16.146502057613176,0.0199033711769536,False
25,3.15625,231.25,9.53125,True,3.366666666666667,123.33333333333314,12.072916666666664,0.0862177089554732,False
26,3.40625,181.25,22.28125,True,3.5008680555555554,156.0763888888889,24.26180555555556,0.0225343377155196,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.2997299382716028,116.84992283950606,12.242660108024698,0.0723659629233855,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.4337633148674946,124.97593335449004,13.515515197056216,0.0028095217180850443,True
31,2.53125,206.25,24.40625,True,3.060358796296295,164.6510631001372,24.059183527663464,0.4078714049512488,False
